HLA_A	Frequency_Ahere
02:01:01	0.3164
03:01:01	0.1653
24:02:01	0.0937
01:01:01	0.0861
11:01:01	0.0847
25:01:01	0.0395
26:01:01	0.0382
32:01:01	0.0326
68:01:02	0.0299
31:01:02	0.025
68:01:01	0.0184
23:01:01	0.0143
30:01:01	0.0114
29:02:01	0.0092
33:01:01	0.006
66:01:01	0.0041
02:05:01	0.0034
68:02:01	0.0034
29:01:01	0.003
33:03:01	0.003
03:02:01	0.0021
02:06:01	0.0013
31:01:01	0.0013
30:04:01	0.001
02:07:01	0.0009
02:35:01	0.0009
30:02:01	0.0007
03:22:01	0.0006
26:08:01	0.0006
31:08:01	0.0004
01:02:01	0.0003
02:30:01	0.0003
29:72:01	0.0003
69:01:01	0.0003
01:01:33	0.0001
02:02:01	0.0001
02:17:02	0.0001
02:38:01	0.0001
02:64:01	0.0001
03:01:14	0.0001
11:01:79	0.0001
24:03:01	0.0001
26:15:01	0.0001
33:05:01	0.0001
