HLA_B	Frequency_Bhere
07:02:01	0.1512
13:02:01	0.0851
15:01:01	0.0748
44:02:01	0.0646
40:01:01	0.0568
08:01:01	0.0538
18:01:01	0.0526
35:01:01	0.0492
27:05:02	0.0471
40:02:01	0.0363
35:03:01	0.0313
57:01:01	0.031
51:01:01	0.0299
56:01:01	0.0277
44:03:01	0.023
39:01:01	0.0229
38:01:01	0.0216
52:01:01	0.0129
14:02:01	0.0112
27:02:01	0.0104
49:01:01	0.0093
55:01:01	0.0092
37:01:01	0.009
27:05:03	0.008
41:02:01	0.008
44:05:01	0.008
35:02:01	0.0074
41:01:01	0.0056
51:07:01	0.0044
58:01:01	0.0041
50:01:01	0.0037
39:06:02	0.0031
35:08:01	0.0027
45:01:01	0.0023
47:01:01	0.0019
07:05:01	0.0016
18:03:01	0.0014
15:17:01	0.0013
15:24:01	0.0013
07:04:01	0.0011
57:03:01	0.001
14:01:01	0.0009
44:27:01	0.0007
46:01:01	0.0006
53:01:01	0.0006
15:18:01	0.0004
15:39:01	0.0004
35:01:29	0.0004
39:06:01	0.0004
40:06:01	0.0004
48:01:01	0.0004
57:02:01	0.0004
07:07:01	0.0003
07:10:01	0.0003
13:01:01	0.0003
15:08:01	0.0003
15:16:01	0.0003
15:190:01	0.0003
39:24:01	0.0003
40:01:02	0.0003
40:12:01	0.0003
40:94:01	0.0003
44:03:02	0.0003
44:48:01	0.0003
51:08:01	0.0003
08:262:01	0.0001
15:01:10	0.0001
15:09:01	0.0001
15:34:01	0.0001
15:73:01	0.0001
27:03:01	0.0001
27:07:01	0.0001
27:12:01	0.0001
39:68:01	0.0001
40:01:20	0.0001
40:32:01	0.0001
42:01:01	0.0001
42:02:01	0.0001
44:04:01	0.0001
47:02:01	0.0001
51:01:19	0.0001
51:05:01	0.0001
52:01:02	0.0001
