HLA_C	Frequency_Chere
07:02:01	0.1588
06:02:01	0.1326
04:01:01	0.1196
02:02:02	0.0943
07:01:01	0.0874
12:03:01	0.0788
03:04:01	0.0785
03:03:01	0.0499
01:02:01	0.0492
05:01:01	0.0339
07:04:01	0.0303
15:02:01	0.0176
12:02:01	0.0126
08:02:01	0.012
17:01:01	0.0119
14:02:01	0.008
16:01:01	0.0076
03:02:01	0.003
02:02:01	0.0026
16:02:01	0.0017
07:68:01	0.0016
15:05:01	0.0014
16:04:01	0.0013
07:02:08	0.0006
15:04:01	0.0006
08:01:01	0.0004
17:03:01	0.0004
18:01:01	0.0004
04:03:01	0.0003
04:04:01	0.0003
07:185:01	0.0003
12:98:01	0.0003
15:06:01	0.0003
03:54:01	0.0001
04:01:10	0.0001
05:16:01	0.0001
07:02:10	0.0001
07:75:01	0.0001
07:76:01	0.0001
08:03:01	0.0001
12:16:01	0.0001
15:09:01	0.0001
15:13:01	0.0001
16:15:01	0.0001
16:201:01	0.0001
