anonymized_UUID	HLAA1	HLAA2	HLAB1	HLAB2	HLAC1	HLAC2
1190873	02:01:01	66:01:01	41:02:01	41:01:01	17:01:01	17:01:01
1023963	66:01:01	69:01:01	41:02:01	57:02:01	17:01:01	18:01:01
1240698	03:02:01	68:02:01	41:02:01	44:02:01	16:04:01	17:01:01
1194492	01:01:01	02:01:01	41:01:01	51:01:01	16:02:01	17:01:01
1114313	11:01:01	31:01:02	51:01:01	51:01:01	15:02:01	15:02:01
1275752	02:01:01	66:01:01	41:02:01	51:01:01	15:02:01	17:01:01
1020998	24:02:01	26:01:01	51:07:01	51:01:01	14:02:01	15:02:01
1153292	31:01:02	68:01:02	51:01:01	51:01:01	14:02:01	15:02:01
1020988	01:01:01	02:01:01	40:02:01	51:07:01	14:02:01	15:02:01
7410	03:01:01	11:01:01	51:07:01	57:01:01	14:02:01	06:02:01
1063346	29:02:01	31:01:02	39:01:01	44:03:01	12:98	16:15:01
1050606	24:02:01	29:02:01	38:01:01	44:03:01	12:98	16:201
1150494	31:01:02	68:01:02	39:01:01	41:02:01	12:03:01	17:01:01
1197897	29:02:01	31:01:02	39:01:01	44:03:01	12:03:01	16:01:01
1015839	03:01:01	31:01:02	39:01:01	39:01:01	12:03:01	12:03:01
1241118	03:01:01	31:01:02	39:01:01	39:01:01	12:03:01	12:03:01
23058	02:01:01	29:02:01	39:01:01	51:01:01	12:03:01	15:02:01
40823	02:01:01	68:01:02	39:01:01	51:01:01	12:03:01	15:02:01
1010995	02:01:01	68:01:02	39:01:01	51:01:01	12:03:01	15:02:01
1147503	02:01:01	03:01:01	39:01:01	51:07:01	12:03:01	14:02:01
1147643	02:01:01	02:01:01	39:01:01	51:01:01	12:03:01	15:02:01
1157235	02:01:01	11:01:01	39:01:01	52:01:01	12:03:01	12:02:01
1234988	02:01:01	11:01:01	39:01:01	41:02:01	12:03:01	17:01:01
1100583	26:01:01	26:01:01	38:01:01	38:01:01	12:03:01	12:03:01
1191205	26:01:01	32:01:01	38:01:01	38:01:01	12:03:01	12:03:01
1197902	26:01:01	31:01:02	38:01:01	51:01:01	12:03:01	15:02:01
1240671	26:01:01	26:01:01	38:01:01	51:07:01	12:03:01	14:02:01
1190879	11:01:01	29:02:01	38:01:01	44:03:01	12:03:01	16:01:01
1133175	02:01:01	26:01:01	38:01:01	38:01:01	12:03:01	12:03:01
1149416	02:01:01	26:01:01	38:01:01	41:02:01	12:03:01	17:01:01
1150518	02:01:01	02:01:01	38:01:01	39:01:01	12:03:01	12:03:01
1085428	24:02:01	26:01:01	38:01:01	41:02:01	12:03:01	17:01:01
1027637	23:01:01	26:01:01	38:01:01	51:07:01	12:03:01	14:02:01
55677	02:01:01	26:01:01	38:01:01	51:01:01	12:03:01	15:02:01
1043752	01:01:01	02:01:01	38:01:01	39:01:01	12:03:01	12:03:01
1147497	11:01:01	24:02:01	35:03:01	38:01:01	12:03:01	12:03:01
1192595	11:01:01	66:01:01	35:03:01	41:02:01	12:03:01	17:01:01
1149900	03:01:01	11:01:01	35:03:01	39:01:01	12:03:01	12:03:01
1050626	01:01:01	02:01:01	35:03:01	51:01:01	12:03:01	15:02:01
1027679	31:01:02	68:01:01	18:01:01	39:01:01	12:03:01	12:03:01
55698	25:01:01	25:01:01	18:01:01	18:01:01	12:03:01	12:03:01
1015814	25:01:01	31:01:02	18:01:01	39:01:01	12:03:01	12:03:01
1015961	25:01:01	25:01:01	18:01:01	18:01:01	12:03:01	12:03:01
1033238	25:01:01	68:01:02	18:01:01	51:01:01	12:03:01	14:02:01
1050614	25:01:01	66:01:01	18:01:01	41:02:01	12:03:01	17:01:01
1079247	25:01:01	31:01:02	18:01:01	51:01:01	12:03:01	15:02:01
1103087	25:01:01	26:01:01	18:01:01	39:01:01	12:03:01	12:03:01
