anonymized_UUID	HLAA1	HLAA2	HLAB1	HLAB2	HLAC1	HLAC2
f21985a3-e320-48ac-a61a-39b6a6b333f9	02:01:01	66:01:01	41:02:01	41:01:01	17:01:01	17:01:01
dc17548f-225a-4e1d-baf4-0addc937dc47	66:01:01	69:01:01	41:02:01	57:02:01	17:01:01	18:01:01
bac8c432-e144-482c-b9ff-06bec0454570	03:02:01	68:02:01	41:02:01	44:02:01	16:04:01	17:01:01
1d921368-fe13-4356-ace7-cbb92141cc57	01:01:01	02:01:01	41:01:01	51:01:01	16:02:01	17:01:01
b5ba59c7-ce09-46aa-937e-ee18e904577c	11:01:01	31:01:02	51:01:01	51:01:01	15:02:01	15:02:01
81905f0a-7949-468f-b17c-65975200198b	02:01:01	66:01:01	41:02:01	51:01:01	15:02:01	17:01:01
5edd36a2-7897-40cc-a072-48a53aedd451	24:02:01	26:01:01	51:07:01	51:01:01	14:02:01	15:02:01
2932b6a5-849c-48e4-95aa-a8ff69f1db68	31:01:02	68:01:02	51:01:01	51:01:01	14:02:01	15:02:01
0ab1b20a-4b52-4153-beed-4c61acf075a4	01:01:01	02:01:01	40:02:01	51:07:01	14:02:01	15:02:01
026feb81-2c7c-43cb-bb93-e1203a406bee	03:01:01	11:01:01	51:07:01	57:01:01	14:02:01	06:02:01
084a0257-8df8-40a2-b5b4-e8dab26d305e	29:02:01	31:01:02	39:01:01	44:03:01	12:98:01	16:15:01
9503e004-16d8-4bd9-ab77-8732945c717f	24:02:01	29:02:01	38:01:01	44:03:01	12:98:01	16:201:01
c92deb82-ae8f-4dc9-8a83-80b83992ad9d	31:01:02	68:01:02	39:01:01	41:02:01	12:03:01	17:01:01
8eb894fa-7277-465c-a8f6-51b8465b466b	29:02:01	31:01:02	39:01:01	44:03:01	12:03:01	16:01:01
cf521ce2-0a0b-4b37-b7b5-556600949e44	03:01:01	31:01:02	39:01:01	39:01:01	12:03:01	12:03:01
b34174f5-a9b2-454e-a1d1-15620c7c2c3a	03:01:01	31:01:02	39:01:01	39:01:01	12:03:01	12:03:01
be839cc0-11ac-4750-8b1e-69f4373c0c46	02:01:01	29:02:01	39:01:01	51:01:01	12:03:01	15:02:01
c813e8bc-0a06-4e1a-a6c5-f2fc68bad2bb	02:01:01	68:01:02	39:01:01	51:01:01	12:03:01	15:02:01
3d392a32-4707-4e06-8812-30bd356815fc	02:01:01	68:01:02	39:01:01	51:01:01	12:03:01	15:02:01
e0eef93c-9d07-4db1-b616-8c9f4b063ae2	02:01:01	03:01:01	39:01:01	51:07:01	12:03:01	14:02:01
020444b1-989d-42c5-9191-0a8e9e745219	02:01:01	02:01:01	39:01:01	51:01:01	12:03:01	15:02:01
788593b1-014b-42af-a490-3dd8a174f471	02:01:01	11:01:01	39:01:01	52:01:01	12:03:01	12:02:01
e6802e46-0031-4314-bb28-4f440bace164	02:01:01	11:01:01	39:01:01	41:02:01	12:03:01	17:01:01
5a21292b-30d1-4abe-97c8-bc37396d3a28	26:01:01	26:01:01	38:01:01	38:01:01	12:03:01	12:03:01
11e7dae3-667f-42a7-b9a3-24ef5ebc3d6c	26:01:01	32:01:01	38:01:01	38:01:01	12:03:01	12:03:01
177719cd-236c-40ab-8a40-73ef8aadbfa9	26:01:01	31:01:02	38:01:01	51:01:01	12:03:01	15:02:01
c597fcaf-1aeb-46d0-a66f-19875b6b9d98	26:01:01	26:01:01	38:01:01	51:07:01	12:03:01	14:02:01
b59e1735-25f8-451d-95c3-800f229c94fb	11:01:01	29:02:01	38:01:01	44:03:01	12:03:01	16:01:01
a0127b9b-6e98-44a7-9562-9ef90c5fc06a	02:01:01	26:01:01	38:01:01	38:01:01	12:03:01	12:03:01
073dd8bc-9ed9-4acf-bc12-44248c22f2a6	02:01:01	26:01:01	38:01:01	41:02:01	12:03:01	17:01:01
79ea03e8-ac05-458c-bb78-2d282482f72f	02:01:01	02:01:01	38:01:01	39:01:01	12:03:01	12:03:01
5ce7aa87-708a-4cc9-bc36-d9167d90a0f1	24:02:01	26:01:01	38:01:01	41:02:01	12:03:01	17:01:01
a9f0cd2b-d604-402a-b224-875663212a28	23:01:01	26:01:01	38:01:01	51:07:01	12:03:01	14:02:01
bcab61a3-f190-4c29-b7cb-85b091ae4e2f	02:01:01	26:01:01	38:01:01	51:01:01	12:03:01	15:02:01
b0f5fd35-4efc-4b1e-98d5-0f3e2af83c30	01:01:01	02:01:01	38:01:01	39:01:01	12:03:01	12:03:01
3a069883-09d4-4265-b54a-cf76ed4f8f43	11:01:01	24:02:01	35:03:01	38:01:01	12:03:01	12:03:01
9a477ae6-3be6-4746-a1da-f25c9cd84bc8	11:01:01	66:01:01	35:03:01	41:02:01	12:03:01	17:01:01
30051a60-633a-4f71-ac5e-9c82c2249b71	03:01:01	11:01:01	35:03:01	39:01:01	12:03:01	12:03:01
b2786541-f601-4b28-80e5-a30046b32ede	01:01:01	02:01:01	35:03:01	51:01:01	12:03:01	15:02:01
d0f99a35-ed39-42f5-8b88-defcff02d308	31:01:02	68:01:01	18:01:01	39:01:01	12:03:01	12:03:01
1e70ce78-1d94-4dea-b3e0-adaa3d45af2b	25:01:01	25:01:01	18:01:01	18:01:01	12:03:01	12:03:01
ab32ca24-fa2b-4f1f-a1c8-e9d86f1f1ac7	25:01:01	31:01:02	18:01:01	39:01:01	12:03:01	12:03:01
1d0bf9ce-b7d0-4a99-b807-582768512620	25:01:01	25:01:01	18:01:01	18:01:01	12:03:01	12:03:01
a6c15464-adb1-483f-9ac8-3b78d2326a44	25:01:01	68:01:02	18:01:01	51:01:01	12:03:01	14:02:01
5ac9c9b0-47f0-4e17-938d-08640863257a	25:01:01	66:01:01	18:01:01	41:02:01	12:03:01	17:01:01
a9266c82-806e-4493-9b99-a03254a572e7	25:01:01	31:01:02	18:01:01	51:01:01	12:03:01	15:02:01
e36365a9-b8e6-4fc2-877d-561782ff9db8	25:01:01	26:01:01	18:01:01	39:01:01	12:03:01	12:03:01
78a3362b-e983-44b1-a68c-1c22109b683b	25:01:01	26:01:01	18:01:01	38:01:01	12:03:01	12:03:01
bec1d46a-06d9-489e-908f-a89b13b43c61	25:01:01	31:01:02	18:01:01	51:01:01	12:03:01	15:04:01
8ed97306-e0b8-4e5b-a052-cfe07deb3346	25:01:01	68:01:02	18:01:01	51:01:01	12:03:01	15:02:01
d3d51d54-8033-4dd8-88f0-6c07e50c8f5b	24:02:01	25:01:01	18:01:01	38:01:01	12:03:01	12:03:01
30fc8f6e-7b58-4cf1-a85a-70325908e84f	24:02:01	25:01:01	18:01:01	39:01:01	12:03:01	12:03:01
a3f8b376-fb81-4ac2-810b-ac5aba89f1d8	24:02:01	25:01:01	18:01:01	18:01:01	12:03:01	12:03:01
f9986ee0-915a-4bbf-a7f0-71cd0437a565	24:02:01	31:01:02	18:01:01	39:01:01	12:03:01	12:03:01
f12380e5-b00e-4403-ba1d-70795074cdf7	11:01:01	25:01:01	18:01:01	39:01:01	12:03:01	12:03:01
bde481e3-ebd5-430f-8059-4962305d2c78	11:01:01	25:01:01	18:01:01	38:01:01	12:03:01	12:03:01
8054009e-6780-41ae-b97f-ead62d574057	03:01:01	03:01:01	18:01:01	35:03:01	12:03:01	12:03:01
fd18591b-8e43-4b63-9976-c5e2be72c56b	03:01:01	31:01:02	18:01:01	39:01:01	12:03:01	12:03:01
e5c646ac-2364-4f0f-bfe8-b4225c93c748	02:05:01	25:01:01	18:01:01	38:01:01	12:03:01	12:03:01
ed150a8d-9f94-4885-aaff-44cbeb22e598	02:01:01	25:01:01	18:01:01	44:02:01	12:03:01	12:03:01
6120a6a2-118e-43c0-9091-45cdbccb4dbd	02:01:01	25:01:01	18:01:01	51:01:01	12:03:01	15:02:01
286f4f9a-5a88-4f2d-91e6-1bf34866ee24	02:01:01	03:01:01	18:01:01	18:01:01	12:03:01	12:03:01
c067df4f-f025-46d7-9da2-e9be46055929	02:01:01	32:01:01	18:01:01	42:02:01	12:03:01	17:01:01
190e0d12-165d-4f24-9b68-178bdde7f7ad	01:01:01	30:04:01	18:01:01	41:01:01	12:03:01	17:01:01
080230a7-7ad5-4b41-b3e7-6e9a8b86e9ea	02:01:01	31:01:02	15:01:01	38:01:01	12:03:01	12:03:01
83572183-b08b-48ac-923d-b10c8278a157	03:01:01	25:01:01	18:01:01	39:01:01	12:03:01	12:03:01
54b44826-a0a2-43d3-a052-09bc4be1fdc9	24:02:01	31:01:01	39:01:01	51:01:01	12:03:01	12:03:01
8abab6c9-ec44-4f60-9973-010427df3796	03:01:01	31:01:01	39:01:01	40:01:01	12:03:01	03:04:01
f6904bd3-e580-4108-ac51-4024ea575c0f	02:01:01	11:01:01	35:03:01	51:01:01	12:03:01	15:02:01
7642ace9-a20a-4bbc-867b-8269e0509605	03:02:01	11:01:01	51:01:01	52:01:01	12:02:01	15:02:01
2c90998f-ca7f-4f7e-859b-371a5ed0ac20	02:01:01	11:01:01	51:01:01	52:01:01	12:02:01	15:02:01
18440643-a830-411c-a01d-ca24dc2d868b	02:01:01	11:01:01	51:01:01	52:01:01	12:02:01	15:02:01
b7ef213a-286e-45b9-a073-13a322d812fa	11:01:01	30:01:01	44:03:01	52:01:01	12:02:01	16:01:01
5d018580-b904-4aa4-80ed-2e9c9665015c	03:01:01	66:01:01	41:02:01	52:01:01	12:02:01	17:01:01
